ID;DescriÃ§Ã£o;Categoria;Fornecedor;Quantidade;Valor Custo;Valor Recomendado;imei;Loja
;KIT CARREGADOR 25W;Carregadores;;1;R$ 120,84;R$ 225,00;RF7X5B81K71RTB;Águas Lindas Shopping
;KIT CARREGADOR 25W;Carregadores;;1;R$ 120,84;R$ 225,00;RF7X5Q20CR1RTB;Águas Lindas Shopping
;KIT CARREGADOR 25W;Carregadores;;1;R$ 121,99;R$ 199,00;RF7X6D6QDJ2RTB;Águas Lindas Shopping
;PELICULA 9D 17 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 17 PRO;Películas;;;R$ 1,50;R$ 40,00;;Águas Lindas Shopping
;PELICULA 9D 17 AIR;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 17;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 16 PRO MAX;Películas;;72;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 16 PRO ;Películas;;46;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 16;Películas;;41;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 15 PRO MAX;Películas;;40;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 15/15 PRO;Películas;;55;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 14 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 14 PRO;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 14;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 13 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 13 PRO ;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 13;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 12 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 12/12 PRO;Películas;;42;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 11 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 11 PRO;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 11;Películas;;45;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 8 PLUS;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 7/8;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;KIT CARREGADOR T108UC;Carregadores;;7;R$ 13;R$ 50;;Águas Lindas Shopping
;KIT CARREGADOR KIMASTER 15W  LIGHTINING ;Carregadores;;21;R$ 15;R$ 40;;Águas Lindas Shopping
;KIT CARREGADOR KIMASTER 15W TYPEC ;Carregadores;;17;R$ 15;R$ 40;;Águas Lindas Shopping
;KIT CARREGADOR KIMASTER 40W LIGHTNING ;Carregadores;;20;R$ 18;R$ 60;;Águas Lindas Shopping
;POWER BANK MAGSAFE 5000MAH ;Carregadores;;8;R$ 65;R$ 120;;Águas Lindas Shopping
;POWER BANK MAGSAFE 10000MAH;Carregadores;;;R$ 85;R$ 150;;Águas Lindas Shopping
;POWER BANK 10000MAH PEINING;Carregadores;;7;R$ 75;R$ 180;;Águas Lindas Shopping
;POWER BANK 10000MAH ESPADA;Carregadores;;1;R$ 55;R$ 100;;Águas Lindas Shopping
;POWER BANK 20000MAH ÁGOLD;Carregadores;;1;R$ 95;R$ 199;;Águas Lindas Shopping
;POWER BANK 30000MAH PEINING;Carregadores;;1;R$ 100;R$ 190;;Águas Lindas Shopping
;FONE KIMASTER TWS350;Áudio;;15;R$ 48;R$ 100;;Águas Lindas Shopping
